iter	Logloss
161	0.4599567849
162	0.4599351817
163	0.4599028016
164	0.4598887009
165	0.4598580142
166	0.4598373509
167	0.4598177398
168	0.4598006855
169	0.4597824701
170	0.4597645022
171	0.4597185355
172	0.4596970989
173	0.4596807214
174	0.4596524365
175	0.4596434486
176	0.459627828
177	0.4595885566
178	0.4595675094
179	0.4595436643
180	0.459526468
181	0.4594991736
182	0.4594831278
183	0.4594538686
184	0.4594240129
185	0.4593970649
186	0.4593656432
187	0.4593457856
188	0.4593310745
189	0.4592866511
190	0.4592702048
191	0.4592492135
192	0.4592344144
193	0.4591950201
194	0.4591771763
195	0.4591479596
196	0.4591231709
197	0.4590760289
198	0.4590590331
199	0.4590381706
200	0.4590197905
201	0.4590026706
202	0.4589779133
203	0.4589529081
204	0.458937983
205	0.4589201401
206	0.4589001128
207	0.4588804405
208	0.4588625596
209	0.4588449781
210	0.4588339176
211	0.458807056
212	0.4587915314
213	0.4587807537
214	0.4587643171
215	0.4587398038
216	0.4587237139
217	0.4587118982
218	0.458700487
219	0.458681292
220	0.4586624114
221	0.458639129
222	0.4586142231
223	0.4585975222
224	0.4585733474
225	0.4585493072
226	0.4585362352
227	0.4585200044
228	0.4584866153
229	0.4584661469
230	0.4584387012
231	0.4584288524
232	0.4583880472
233	0.4583664677
234	0.458347978
235	0.4583315152
236	0.4583072011
237	0.4582872003
238	0.4582682159
239	0.4582498254
240	0.458230824
241	0.458214483
242	0.458185321
243	0.4581653435
244	0.4581458925
245	0.4581170255
246	0.4581011285
247	0.4580881012
248	0.4580674567
249	0.45806092
250	0.4580373956
251	0.4580221244
252	0.4580085261
253	0.4579823555
254	0.4579569042
255	0.4579315971
256	0.4579118616
257	0.4578878195
258	0.4578628621
259	0.4578471581
260	0.4578249531
261	0.457801158
262	0.4577919621
263	0.4577744334
264	0.4577560542
265	0.4577407131
266	0.4577186869
267	0.4576958527
268	0.457671979
269	0.4576520895
270	0.457632774
271	0.4576142894
272	0.4575912616
273	0.4575733901
274	0.4575558297
275	0.457539094
276	0.4575178159
277	0.4575108674
278	0.457495167
279	0.4574735871
280	0.4574389654
281	0.4574074929
282	0.4573751081
283	0.4573400911
284	0.4573230768
285	0.4573138613
286	0.4573048618
287	0.457284186
288	0.4572677333
289	0.45725191
290	0.4572413749
291	0.4572085207
292	0.4571920721
293	0.4571731717
294	0.4571574939
295	0.4571448967
296	0.4571218729
297	0.4571088942
298	0.4570898537
299	0.4570735538
300	0.4570557731
301	0.4570466049
302	0.4570267394
303	0.4570131065
304	0.4569933026
305	0.4569798278
306	0.4569656916
307	0.4569521052
308	0.4569363237
309	0.4569185351
310	0.4568974823
311	0.4568773548
312	0.4568645927
313	0.4568415973
314	0.4568282667
315	0.4568152209
316	0.4567998181
317	0.4567799121
318	0.4567663101
319	0.4567396028
320	0.4567134502
321	0.4566951304
322	0.4566694479
323	0.4566473402
324	0.4566325685
325	0.4566087306
326	0.4565857555
327	0.4565622375
328	0.4565488487
329	0.4565258143
330	0.4565082253
331	0.4564981129
332	0.4564795283
333	0.4564631965
334	0.4564470181
335	0.4564331072
336	0.4564018832
337	0.4563862303
338	0.4563633236
339	0.4563498762
340	0.4563379721
341	0.4563162951
342	0.4562956784
343	0.4562752316
344	0.456252781
345	0.4562401827
346	0.4562275068
347	0.4562152225
348	0.4561969563
349	0.4561816026
350	0.4561740041
351	0.4561565663
352	0.4561342384
353	0.4560960072
354	0.456078845
355	0.4560690353
356	0.456040552
357	0.4560271208
358	0.456008709
359	0.4559903985
360	0.455965918
361	0.4559392639
362	0.4559233659
363	0.4559110225
364	0.4558957248
365	0.4558801971
366	0.4558673313
367	0.4558534471
368	0.4558448853
369	0.4558305532
370	0.4558121695
371	0.4557950128
372	0.4557887724
373	0.4557710966
374	0.4557565999
375	0.4557359406
376	0.4557186045
377	0.4557003657
378	0.4556825946
379	0.4556620307
380	0.4556399845
381	0.455619894
382	0.4556055257
383	0.4555933189
384	0.455581187
385	0.4555647354
386	0.4555518926
387	0.4555316203
388	0.4555167573
389	0.4555000808
390	0.4554872241
391	0.4554637241
392	0.4554453818
393	0.4554282954
394	0.4554022493
395	0.4553886217
396	0.4553638677
397	0.4553502757
398	0.4553325446
399	0.4553141774
400	0.4552897861
401	0.4552712078
402	0.4552581672
403	0.4552368251
404	0.4552229821
405	0.4552052404
406	0.4551963398
407	0.4551722903
408	0.4551594326
409	0.4551395382
410	0.4551248692
411	0.4551092213
412	0.4550988011
413	0.4550834994
414	0.4550694128
415	0.4550529787
416	0.4550397703
417	0.4550154213
418	0.4549992144
419	0.4549854328
420	0.4549711563
421	0.4549534665
422	0.4549419449
423	0.4549275075
424	0.454911913
425	0.4548900532
426	0.4548790818
427	0.4548589425
428	0.4548469299
429	0.4548284549
430	0.4548046226
431	0.4547924482
432	0.4547743079
433	0.454755522
434	0.4547386876
435	0.4547231673
436	0.4547127151
437	0.4546936497
438	0.454683093
439	0.4546734633
440	0.4546454118
441	0.4546200547
442	0.4545964094
443	0.4545794997
444	0.4545587116
445	0.4545378211
446	0.4545213295
447	0.4545013907
448	0.4544846789
449	0.4544629438
450	0.4544459525
451	0.454426202
452	0.4544042313
453	0.4543879979
454	0.4543714541
455	0.4543510131
456	0.4543371859
457	0.4543194772
458	0.4543001619
459	0.4542864873
460	0.4542695211
461	0.4542534558
462	0.4542355363
463	0.4542207632
464	0.4542070058
465	0.454191513
466	0.4541736571
467	0.4541565597
468	0.4541162184
469	0.4540944163
470	0.4540790393
471	0.4540641328
472	0.4540514197
473	0.4540350245
474	0.4540172399
475	0.454004648
476	0.4539947961
477	0.4539813017
478	0.4539642478
479	0.4539423011
480	0.4539307471
481	0.4539197548
482	0.4539082546
483	0.4538968825
484	0.4538782393
485	0.4538651807
486	0.4538391164
487	0.4538305094
488	0.4538170188
489	0.4538034128
490	0.4537870304
491	0.4537556171
492	0.453745617
493	0.4537279227
494	0.4537093977
495	0.453692297
496	0.4536775035
497	0.4536511577
498	0.4536306195
499	0.4536111047
500	0.4535942696
501	0.4535815409
502	0.4535653203
503	0.4535563008
504	0.4535369638
505	0.4535268516
506	0.4535151746
507	0.4535042977
508	0.4534926637
509	0.4534784576
510	0.4534630455
511	0.4534416633
512	0.4534302424
513	0.4534104739
514	0.4533908071
515	0.4533623039
516	0.4533342372
517	0.4533122985
518	0.4532934824
519	0.4532647411
520	0.4532475756
521	0.4532378945
522	0.4532270944
523	0.4532159648
524	0.4531844104
525	0.4531660188
526	0.4531436849
527	0.4531300323
528	0.4531151294
529	0.4530955161
530	0.4530765563
531	0.4530648873
532	0.4530489057
533	0.4530313432
534	0.4530144853
535	0.4529800357
536	0.452965489
537	0.4529488766
538	0.4529327944
539	0.4529210986
540	0.4529033347
541	0.4528893442
542	0.4528786023
543	0.4528645947
544	0.4528389466
545	0.4528270491
546	0.4528018371
547	0.4527834259
548	0.4527718633
549	0.4527534647
550	0.4527397988
551	0.4527201945
552	0.4527029669
553	0.4526796344
554	0.4526649561
555	0.4526486564
556	0.4526210527
557	0.4526014233
558	0.4525904469
559	0.452581084
560	0.4525526836
561	0.4525390766
562	0.4525224857
563	0.452504163
564	0.4524906093
565	0.4524811556
566	0.452467834
567	0.4524575425
568	0.452447021
569	0.4524315583
570	0.4524097773
571	0.4523914882
572	0.452379449
573	0.4523676805
574	0.4523544982
575	0.452342128
576	0.4523219464
577	0.4523068721
578	0.452292174
579	0.4522771162
580	0.4522676414
581	0.4522517784
582	0.4522307592
583	0.4522169198
584	0.4521996496
585	0.4521863934
586	0.4521581308
587	0.452146148
588	0.4521261523
589	0.4521122172
590	0.4520984528
591	0.4520837388
592	0.4520695134
593	0.4520529067
594	0.452034969
595	0.452022078
596	0.4520067627
597	0.451988095
598	0.4519702131
599	0.4519529336
600	0.4519403273
601	0.4519246882
602	0.4519076813
603	0.451893516
604	0.4518768002
605	0.4518576427
606	0.4518467857
607	0.4518323467
608	0.4518152994
609	0.451801963
610	0.4517869974
611	0.4517621613
612	0.4517478529
613	0.4517340024
614	0.4517150514
615	0.4516954161
616	0.4516811355
617	0.4516624161
618	0.4516511295
619	0.4516395065
620	0.4516294865
621	0.451613046
622	0.4516030989
623	0.4515894298
624	0.451577082
625	0.4515605886
626	0.4515422868
627	0.4515250558
628	0.4515140384
629	0.4515016315
630	0.4514852584
631	0.4514627918
632	0.4514443646
633	0.4514199874
634	0.4513994693
635	0.4513885634
636	0.4513690445
637	0.4513582302
638	0.4513449142
639	0.451331921
640	0.4513251454
641	0.4513104483
642	0.4512951171
643	0.4512777791
644	0.4512549409
645	0.4512417939
646	0.4512317616
647	0.4512212041
648	0.4511936389
649	0.451179956
650	0.4511633582
651	0.4511450367
652	0.4511358227
653	0.4511206954
654	0.451105647
655	0.4510858132
656	0.4510750161
657	0.4510631489
658	0.4510537522
659	0.4510356232
660	0.4510178847
661	0.4510015693
662	0.4509911598
663	0.4509757397
664	0.4509653571
665	0.4509514592
666	0.4509262531
667	0.4509127639
668	0.4509018896
669	0.4508817751
670	0.4508669286
671	0.4508482677
672	0.4508291702
673	0.4508093889
674	0.4507989848
675	0.4507850346
676	0.4507643866
677	0.4507356477
678	0.4507214577
679	0.4507127468
680	0.4506970622
681	0.4506856705
682	0.4506703452
683	0.4506548395
684	0.4506357024
685	0.450622489
686	0.450608798
687	0.4505969733
688	0.4505826042
689	0.450567985
690	0.450556695
691	0.4505389785
692	0.4505218188
693	0.4505105332
694	0.4504969625
695	0.4504773275
696	0.4504579034
697	0.4504507763
698	0.4504382408
699	0.45042701
700	0.4504119629
701	0.4503989411
702	0.4503855849
703	0.4503630562
704	0.4503481423
705	0.4503353617
706	0.4503231385
707	0.4503069039
708	0.4502995441
709	0.4502892008
710	0.4502762994
711	0.4502623689
712	0.4502497125
713	0.4502373927
714	0.4502241937
715	0.4502090059
716	0.4501985763
717	0.4501819478
718	0.4501722484
719	0.4501628043
720	0.4501509638
721	0.4501369775
722	0.4501125403
723	0.4500948573
724	0.4500882214
725	0.4500793649
726	0.4500686355
727	0.4500584374
728	0.4500447999
729	0.4500344811
730	0.4500203369
731	0.4500104636
732	0.4499994208
733	0.4499748337
734	0.4499634321
735	0.4499529536
736	0.4499395486
737	0.4499251664
738	0.44990717
739	0.4498910093
740	0.4498673887
741	0.4498465809
742	0.4498279421
743	0.4498111499
744	0.4498044361
745	0.4497871017
746	0.4497673694
747	0.4497561044
748	0.4497427686
749	0.4497292097
750	0.4497103631
751	0.449701721
752	0.4496895936
753	0.4496744918
754	0.4496659616
755	0.4496555923
756	0.4496438593
757	0.4496330683
758	0.449621949
759	0.4496109196
760	0.4495859895
761	0.4495695651
762	0.4495595877
763	0.4495413106
764	0.449526731
765	0.4495170026
766	0.44950236
767	0.4494824492
768	0.4494584721
769	0.4494457198
770	0.4494161208
771	0.4493958968
772	0.4493813603
773	0.4493713415
774	0.4493585728
775	0.4493494717
776	0.4493230656
777	0.449302505
778	0.4492916847
779	0.4492807939
780	0.4492584914
781	0.4492432049
782	0.4492231014
783	0.4492113651
784	0.4491979484
785	0.4491812538
786	0.4491723635
787	0.449158841
788	0.4491457012
789	0.4491287018
790	0.4491103605
791	0.4490966487
792	0.4490823059
793	0.4490650195
794	0.4490550646
795	0.4490427534
796	0.4490291526
797	0.44901268
798	0.4489924451
799	0.4489811339
800	0.4489684433
801	0.4489554199
802	0.4489491938
803	0.448932602
804	0.4489210486
805	0.4489095411
806	0.4488966029
807	0.4488799531
808	0.448866863
809	0.4488514266
810	0.4488364639
811	0.4488231496
812	0.4488047952
813	0.4487888128
814	0.4487770037
815	0.4487665665
816	0.4487608507
817	0.4487497525
818	0.4487386053
819	0.4487292117
820	0.4487170522
821	0.4487056134
822	0.448693247
823	0.4486765787
824	0.4486619916
825	0.448649697
826	0.4486333399
827	0.4486230551
828	0.4486115342
829	0.4486007566
830	0.4485897427
831	0.4485806685
832	0.4485686447
833	0.4485534014
834	0.448546338
835	0.4485294251
836	0.4485134433
837	0.4485034325
838	0.4484886111
839	0.4484812279
840	0.4484697225
841	0.4484572492
842	0.448447471
843	0.4484366616
844	0.4484246143
845	0.4484062683
846	0.4483958013
847	0.4483833441
848	0.4483673069
849	0.4483512809
850	0.448341185
851	0.4483217361
852	0.4483098403
853	0.4483002309
854	0.4482885709
855	0.4482658068
856	0.448252124
857	0.4482421389
858	0.4482243535
859	0.4482156042
860	0.4481985223
861	0.4481788695
862	0.4481634023
863	0.4481407101
864	0.4481262594
865	0.4481115151
866	0.4480933865
867	0.4480837782
868	0.4480705488
869	0.4480494677
870	0.448038449
871	0.4480273712
872	0.4480137615
873	0.4479949102
874	0.4479788983
875	0.4479609653
876	0.4479466232
877	0.4479287661
878	0.447901015
879	0.4478802372
880	0.4478554578
881	0.4478427115
882	0.4478274157
883	0.447808777
884	0.447796242
885	0.4477791417
886	0.4477653032
887	0.4477483771
888	0.4477304572
889	0.4477211241
890	0.4477117598
891	0.4476997657
892	0.4476910104
893	0.4476781833
894	0.4476633675
895	0.4476550313
896	0.4476355233
897	0.4476238383
898	0.44760657
899	0.4475934448
900	0.44757157
901	0.4475604189
902	0.4475494159
903	0.4475357607
904	0.4475231777
905	0.4475105132
906	0.4475025441
907	0.4474764667
908	0.4474663219
909	0.4474570539
910	0.4474412141
911	0.4474215731
912	0.4474044084
913	0.447392451
914	0.4473809227
915	0.4473706552
916	0.447354907
917	0.4473368832
918	0.447327826
919	0.447301883
920	0.4472930905
921	0.4472651847
922	0.4472475727
923	0.4472384522
924	0.4472243167
925	0.4472134679
926	0.4472027937
927	0.4471860442
928	0.4471738606
929	0.4471656086
930	0.4471424644
931	0.4471339485
932	0.4471165343
933	0.4471058327
934	0.4470851281
935	0.4470714144
936	0.4470545308
937	0.447046916
938	0.4470371315
939	0.4470219947
940	0.4470064044
941	0.4469884098
942	0.4469767721
943	0.4469610486
944	0.4469439112
945	0.4469333672
946	0.4469217284
947	0.4469062634
948	0.4468938948
949	0.4468813424
950	0.4468641405
951	0.4468571141
952	0.446844354
953	0.4468338076
954	0.446820364
955	0.4468037452
956	0.4467937926
957	0.4467817722
958	0.4467667661
959	0.4467531877
960	0.4467420478
961	0.4467228416
962	0.4467127668
963	0.4466958585
964	0.446680071
965	0.4466569882
966	0.4466463709
967	0.4466276511
968	0.4466112886
969	0.4465963135
970	0.4465826576
971	0.4465738218
972	0.4465567484
973	0.4465387218
974	0.4465199968
975	0.4465002037
976	0.4464886243
977	0.4464762004
978	0.4464628766
979	0.4464439816
980	0.4464349996
981	0.4464214084
982	0.4464096901
983	0.4463944392
984	0.4463794047
985	0.4463648027
986	0.446351129
987	0.4463374037
988	0.4463230605
989	0.44630387
990	0.4462924238
991	0.4462782799
992	0.4462669853
993	0.4462547909
994	0.4462432101
995	0.4462357283
996	0.4462234589
997	0.4462127432
998	0.4462004041
999	0.4461896673
